wake_item	attribute	rarity_dist	count	candidate_ids
echo_flute	study	N:3,R:4,SR:1	8	kinokorisu|ringowaamu|echo_slime|donguritorent|kotukotusukeruton|urokorisuryu|irukahakase|pet_cat
read_bookmark	study	N:1,R:4	5	hapakamereon|tsuyukusa_pixie|aobadoreiku|morinopanpukin|echo_slime
focus_candle	focus	N:2,R:5,SR:1	8	manmarukouramusi|mizugumo|hotaruuruhu|runetokage|tubomimantisu|yuramekiwisupu|medamarantan|madoromi_kurage
power_nut	exercise	N:2,R:8,SR:2	12	yukidamagoburin|doronkoookuretto|mame_drako|moguransa|hinokosaramanda|sirotunoboa|batibatisupaaku|nejiretunoyagi|oniuupaaruupaa|minaraifenikkusu|kimerachiitaa|pet_rabbit
sun_blanket	recover	N:3,R:4	7	koripengin|awaawatatunoko|hidamari_gorira|sizukuseiren|kaigaramameido|amedama_slime|pet_slime
drop_bottle	recover	N:1,R:3	4	mohumohuyeti|amedama_slime|sakurasupuraito|yoidoresiidora
drowse_feather	sleep	N:3,R:5	8	turaraharinezumi|suyasuyanomu|kogarasiusagi|nemuri_hitsuji|huwakumoramu|nemuke_baku|utatanedoragon|mayoityou
smile_bell	social	N:5,R:3,SR:1	9	fuusenporuka|honewanko|pikapikabii|hyoutanntanuki|gokigentibinezumi|ponpokotanukin|wataamebiisuto|konpeitoufearii|arupakadaitouryou
tidy_broom	organize	N:1,R:5	6	tenorimanmos|korokoro_iwamogu|sabinejiinpu|petit_mimic|kometubugoremu|marutabiibaa
repair_kit	organize	R:6	6	nejimakigoremu|koganekoganemusi|karakurinezumi|kodaihaniwa|petit_mimic|korokoro_iwamogu
idea_shell	idea	R:3,SR:6	9	hosikuzukurage|mizutamakabankuru|kuristalrabit|kobinhomunkurusu|kaerusennin|edisonpanda|petit_mimic|pet_owl|pet_fox
confidence_bookmark	idea	R:1,SR:4,SSR:1	6	rubiisasori|sirotamayuniko|hosizorakitune|kiramekiinkoryuu|nazonazosufinkusu|guide_fairy
ward_charm	restraint	R:8,SR:2	10	kogumanaito|suzumetengu|kuronekosyeido|sumirekoboruto|patapatagagoiru|majinaikarasu|komainubebii|tibinaaga|mayoke_fukurou|chibikeruberosu
adventure_map	adventure	R:2,SR:2,SSR:2	5	soyokazeferet|kohakurizaado|chibigurifon|koorinotonakai|pet_dragon
travel_compass	adventure	R:2,SR:1,SSR:1	4	sunanekomata|himitumomonga|kazekiritubaneryu|niji_slime
starter_seed	special	N:11,R:6,SR:1	18	tsuyukusa_pixie|kinokorisu|manmarukouramusi|yukidamagoburin|koripengin|turaraharinezumi|tenorimanmos|fuusenporuka|hapakamereon|mizugumo|doronkoookuretto|mohumohuyeti|echo_slime|mame_drako|nemuri_hitsuji|ponpokotanukin|hosikuzukurage|mizutamakabankuru
rainbow_drop	special	SSR:6	6	niji_slime|guide_fairy|gekkabyakko|taimuvanpaia|piisugenbu|kouhukufenikkusu
